sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.6,84.8,77.3,98.2,0.9,35.6,10.6,26.8,0.6
1,77.0,71.4,55.1,100.0,0.7,27.0,22.0,28.0,0.0
2,69.0,92.8,90.0,100.0,0.9,45.0,5.0,19.0,0.0
3,76.0,80.3,65.1,100.0,0.8,28.0,15.0,33.0,0.0
4,82.0,84.1,76.8,100.0,0.9,43.0,13.0,26.0,0.0
5,69.0,89.9,85.0,97.1,0.9,34.0,6.0,28.0,1.0
6,85.0,88.2,82.8,100.0,0.9,48.0,10.0,27.0,0.0
7,100.0,90.0,83.3,100.0,0.9,50.0,10.0,40.0,0.0
8,74.0,77.0,70.6,94.7,0.8,36.0,15.0,21.0,2.0
9,57.0,80.7,73.0,96.4,0.8,27.0,10.0,19.0,1.0
10,61.0,91.8,85.3,100.0,0.9,29.0,5.0,27.0,0.0
11,69.0,76.8,63.4,96.3,0.8,26.0,15.0,27.0,1.0
12,80.0,92.5,95.1,90.7,0.9,39.0,2.0,35.0,4.0
13,65.0,92.3,86.8,100.0,0.9,33.0,5.0,27.0,0.0
14,84.0,76.2,63.6,100.0,0.8,35.0,20.0,29.0,0.0
15,71.0,91.5,88.9,97.6,0.9,40.0,5.0,25.0,1.0
16,68.0,79.4,72.3,97.1,0.8,34.0,13.0,20.0,1.0
17,64.0,85.9,77.5,100.0,0.9,31.0,9.0,24.0,0.0
