sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.6,86.9,81.1,96.1,0.9,34.8,8.1,29.2,1.5
1,77.0,77.9,61.4,100.0,0.8,27.0,17.0,33.0,0.0
2,69.0,91.3,95.3,91.1,0.9,41.0,2.0,22.0,4.0
3,76.0,85.5,71.8,100.0,0.8,28.0,11.0,37.0,0.0
4,82.0,87.8,82.4,97.7,0.9,42.0,9.0,30.0,1.0
5,69.0,89.9,83.3,100.0,0.9,35.0,7.0,27.0,0.0
6,85.0,94.1,92.2,97.9,0.9,47.0,4.0,33.0,1.0
7,100.0,91.0,84.7,100.0,0.9,50.0,9.0,41.0,0.0
8,74.0,85.1,81.4,92.1,0.9,35.0,8.0,28.0,3.0
9,57.0,87.7,81.8,96.4,0.9,27.0,6.0,23.0,1.0
10,61.0,85.2,76.3,100.0,0.9,29.0,9.0,23.0,0.0
11,69.0,88.4,77.1,100.0,0.9,27.0,8.0,34.0,0.0
12,80.0,85.0,84.4,88.4,0.9,38.0,7.0,30.0,5.0
13,65.0,93.8,89.2,100.0,0.9,33.0,4.0,28.0,0.0
14,84.0,81.0,69.4,97.1,0.8,34.0,15.0,34.0,1.0
15,71.0,90.1,90.5,92.7,0.9,38.0,4.0,26.0,3.0
16,68.0,77.9,70.8,97.1,0.8,34.0,14.0,19.0,1.0
17,64.0,85.9,86.7,83.9,0.9,26.0,4.0,29.0,5.0
