sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.6,84.8,77.2,98.3,0.9,35.6,10.6,26.8,0.6
1,77.0,75.3,58.7,100.0,0.7,27.0,19.0,31.0,0.0
2,69.0,91.3,88.2,100.0,0.9,45.0,6.0,18.0,0.0
3,76.0,78.9,63.6,100.0,0.8,28.0,16.0,32.0,0.0
4,82.0,81.7,74.1,100.0,0.9,43.0,15.0,24.0,0.0
5,69.0,91.3,87.2,97.1,0.9,34.0,5.0,29.0,1.0
6,85.0,91.8,87.3,100.0,0.9,48.0,7.0,30.0,0.0
7,100.0,92.0,86.2,100.0,0.9,50.0,8.0,42.0,0.0
8,74.0,77.0,70.6,94.7,0.8,36.0,15.0,21.0,2.0
9,57.0,87.7,80.0,100.0,0.9,28.0,7.0,22.0,0.0
10,61.0,86.9,78.4,100.0,0.9,29.0,8.0,24.0,0.0
11,69.0,84.1,72.2,96.3,0.8,26.0,10.0,32.0,1.0
12,80.0,88.8,82.7,100.0,0.9,43.0,9.0,28.0,0.0
13,65.0,89.2,82.5,100.0,0.9,33.0,7.0,25.0,0.0
14,84.0,78.6,66.7,97.1,0.8,34.0,17.0,32.0,1.0
15,71.0,90.1,90.5,92.7,0.9,38.0,4.0,26.0,3.0
16,68.0,72.1,64.8,100.0,0.8,35.0,19.0,14.0,0.0
17,64.0,84.4,78.4,93.5,0.9,29.0,8.0,25.0,2.0
