id,text,sdg,expected_label,predicted_sdgs,predicted_label,correct
e0ab386,"The Ministry of Education is charged with the shaping of the education system through the development of curricula, national objectives and guidelines. Within this framework, municipalities and independent providers implement educational activities, organise school services, allocate resources and ensure that educational goals are met. Individual districts and schools are then entrusted with a large degree of autonomy to organise local schooling.",3,False,[4],False,True
9177b53,"Most of the local government institutions lack the capacity required to implement the policy, legislation and associated programmes. Local bodies are not financially independent and they have no autonomy in decision-making. They are financially dependent on grants from the central Government, as locally mobilized resources (mainly from property taxes) are often insufficient even for their basic operation, let alone for public services. Thus, local bodies depend on the centre for policies, plans, financial resources, human resources and even for budgetary decisions, which severely restricts the creativity and innovativeness of local leaders. Moreover, local leaders lack adequate knowledge and proper training to become visionary with regard to the socio-economic development of their locality.",3,False,[8],False,True
8dd268f,"Brisbane: School of Population Health, University of Queensland. The first version of this model was developed to study the impact of type 2 diabetes on the Australian population including health, health expenditures and broader economic impacts, such as changes in employment and productivity. The model was used to test the potential future impact of various policy interventions to reduce the future burden of diabetes for the purpose of improved decision-making regarding population health investment, work-force participation and productivity.",3,True,"[8, 3]",True,True
9b237c8,"Authorship is usually collective, but principal writers are named. The papers are generally available only in their original language - English or French - with a summary in the other. The opinions expressed and arguments employed are those of the author(s). Comments on Working Papers are welcomed, and may be sent to the Directorate for Employment, Labour and Social Affairs OECD, 2 rue Andre-Pascal, 75775 Paris Cedex 16, France. The author remains responsible for any errors and omissions. The opinions expressed in the paper are the responsibility of the author and do not necessarily reflect those of the OECD or its Member Countries.",3,False,[],False,True
52f8fc8,"This is a limiting structure, as real-world events occur in continuous time, and more importantly, some decisions/transitions are joint, or occur together. The model also has no labour-supply dimension. There are models for labour-force participation, unemployment and retirement but no model of hours worked and the variables that influence those hours, including the family budget, tax rates, and health. Changes in the macro economy can be entered into the model as a scenario, however, there is no general equilibrium mechanism within the model itself.",3,False,[8],False,True
9c41e3c,"Young people who are proficient in the Sami language and culture enjoy a more liberated and less politicized definition of ""Saminess"" than did the preceding generation. Many adolescent Sami express a complex identity including Norwegian, Swedish or Finnish and Sami culture and language, some identify themselves with another ethnicity as well. Many of the younger Sami are from families where their parents' and grandparents' generations were the targets of force assimilation policies.",3,False,[],False,True
c45191f,"The review of models in this paper highlights emerging systems of models where different modelling approaches are designed to work together coherently. In this way, techniques w'ith different strengths are amalgamated and a broader range of policy questions may be explored. Examples include the system of models developed by the U.S. Congressional Budget Office and by the University of Canberra and Monash University in Australia.",3,False,[],False,True
49a8444,"Dialogue with Donors on Urban Poverty Issues (Dhaka, CARE Bangladesh). Slums of Urban Bangladesh: Mapping and Census, 2005” (Dhaka and Chapel Hill, USA). Urban poverty and the working poor: Facing the challenges of urbanization and urban poverty in Asia and the Pacific”, Committee on Poverty Reduction, 24 September (E/ESCAP/C PR(4)/4).",3,False,"[8, 1, 11]",False,True
b269197,"A strict concept of novelty will normally result in the rejection of product patents for new uses. This may be stated in express terms in a country’s patent law or in regulations, resulting in an a priori rejection of the novelty test for product claims of new uses of known products. As regards the protection under a process patent, however, the situation is more complex. Whether or not a new use is obvious is case-specific and cannot generally be anticipated in a domestic patent law, but has to be left to a case-by-case examination.",3,False,[9],False,True
3ac5700,"About half of all NEETs are below 25, although 15-19 year-olds are much less likely to be NEETs than 20-24 and 25-29 year-olds. The proportion of 15-19 year-old NEETs ranges from 7% in Slovenia and 9% in the Slovak Republic to 28% in Mexico and 27% in Chile and Sweden. Numbers are for individuals aged 15-29 years, for the United States, the age range considered is 16-24 because no information on student status is available for individuals aged 25 years and above. Data are for 2011 except for Canada (2009), Ireland (2010) and Mexico (2012).",3,False,[],False,True
3e286ab,"Libya and Yemen, too, have more recently slid into states of civil war, with competing factions, often based on tribal and regional affiliations, vying for local and sometimes national power, although given the especially recent and dynamic nature of conflict in these countries, they are not covered in detail in this chapter. Data come from 1990 and 2010.",3,False,[16],False,True
acc4848,"Despite such initiatives, respondents noted that applications of genomics for stratified medicine delivery remain somewhat limited at present. However, they did mention some important innovations, notably in the field of cancer therapeutics, while national audits show an increase in the provision of novel drugs requiring companion diagnostics. Stratified medicine was seen as helping to address these problems by transforming understanding of the role of genetic variation in disease and enabling more accurate disease classification, diagnosis and targeting of drugs and other interventions.",3,True,"[9, 3]",True,True
a97a26b,"Meanwhile, greater mobility has increased the spread of infectious diseases across oceans and facilitated global pandemics such as influenza and SARS that threaten developed as well as developing countries. Now, we find ourselves in the midst of yet another transformation in biomedical science. The first decades of the current century may well be remembered for the advances occurring in genomics and in associated areas of science and technology. These advances promise new understandings of disease and more effective ways of tackling ill health.",3,True,"[17, 3, 14, 9]",True,True
