sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,74.2,81.6,89.3,72.0,0.8,26.4,3.2,34.4,10.1
1,77.0,89.6,82.8,88.9,0.9,24.0,5.0,45.0,3.0
2,69.0,79.7,94.3,73.3,0.8,33.0,2.0,22.0,12.0
3,76.0,89.5,91.7,78.6,0.8,22.0,2.0,46.0,6.0
4,82.0,78.0,87.9,67.4,0.8,29.0,4.0,35.0,14.0
5,69.0,73.9,100.0,48.6,0.7,17.0,0.0,34.0,18.0
6,85.0,87.1,100.0,77.1,0.9,37.0,0.0,37.0,11.0
7,100.0,91.0,97.7,84.0,0.9,42.0,1.0,49.0,8.0
8,74.0,83.8,88.2,78.9,0.8,30.0,4.0,32.0,8.0
9,57.0,80.7,87.0,71.4,0.8,20.0,3.0,26.0,8.0
10,61.0,80.3,84.0,72.4,0.8,21.0,4.0,28.0,8.0
11,69.0,78.3,87.5,51.9,0.7,14.0,2.0,40.0,13.0
12,80.0,73.8,84.4,62.8,0.7,27.0,5.0,32.0,16.0
13,65.0,78.5,95.2,60.6,0.7,20.0,1.0,31.0,13.0
14,84.0,84.5,76.2,91.4,0.8,32.0,10.0,39.0,3.0
15,71.0,80.3,90.9,73.2,0.8,30.0,3.0,27.0,11.0
16,68.0,76.5,80.6,71.4,0.8,25.0,6.0,27.0,10.0
