sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.6,85.8,81.4,93.0,0.9,33.9,8.1,29.3,2.4
1,77.0,76.6,60.0,100.0,0.7,27.0,18.0,32.0,0.0
2,69.0,89.9,97.5,86.7,0.9,39.0,1.0,23.0,6.0
3,76.0,85.5,73.0,96.4,0.8,27.0,10.0,38.0,1.0
4,82.0,85.4,78.2,100.0,0.9,43.0,12.0,27.0,0.0
5,69.0,91.3,87.2,97.1,0.9,34.0,5.0,29.0,1.0
6,85.0,91.8,88.7,97.9,0.9,47.0,6.0,31.0,1.0
7,100.0,91.0,84.7,100.0,0.9,50.0,9.0,41.0,0.0
8,74.0,79.7,73.5,94.7,0.8,36.0,13.0,23.0,2.0
9,57.0,84.2,78.8,92.9,0.9,26.0,7.0,22.0,2.0
10,61.0,91.8,100.0,82.8,0.9,24.0,0.0,32.0,5.0
11,69.0,84.1,76.7,85.2,0.8,23.0,7.0,35.0,4.0
12,80.0,83.8,80.0,93.0,0.9,40.0,10.0,27.0,3.0
13,65.0,92.3,88.9,97.0,0.9,32.0,4.0,28.0,1.0
14,84.0,81.0,71.1,91.4,0.8,32.0,13.0,36.0,3.0
15,71.0,88.7,86.7,95.1,0.9,39.0,6.0,24.0,2.0
16,68.0,80.9,73.9,97.1,0.8,34.0,12.0,21.0,1.0
17,64.0,81.2,85.2,74.2,0.8,23.0,4.0,29.0,8.0
