sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,74.9,85.4,81.6,91.1,0.9,33.4,7.3,30.8,3.3
1,77.0,84.4,71.4,92.6,0.8,25.0,10.0,40.0,2.0
2,69.0,85.5,92.7,84.4,0.9,38.0,3.0,21.0,7.0
3,76.0,82.9,71.4,89.3,0.8,25.0,10.0,38.0,3.0
4,82.0,89.0,84.0,97.7,0.9,42.0,8.0,31.0,1.0
5,69.0,87.0,81.0,97.1,0.9,34.0,8.0,26.0,1.0
6,85.0,88.2,93.2,85.4,0.9,41.0,3.0,34.0,7.0
7,100.0,94.0,89.3,100.0,0.9,50.0,6.0,44.0,0.0
8,74.0,79.7,79.5,81.6,0.8,31.0,8.0,28.0,7.0
9,57.0,75.4,69.4,89.3,0.8,25.0,11.0,18.0,3.0
10,61.0,95.1,96.4,93.1,0.9,27.0,1.0,31.0,2.0
11,69.0,81.2,68.4,96.3,0.8,26.0,12.0,30.0,1.0
12,80.0,82.5,82.2,86.0,0.8,37.0,8.0,29.0,6.0
