sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,77.0,83.3,76.4,96.8,0.8,36.9,11.6,27.3,1.2
1,77.0,64.9,50.0,100.0,0.7,27.0,27.0,23.0,0.0
2,69.0,92.8,95.5,93.3,0.9,42.0,2.0,22.0,3.0
3,76.0,81.6,66.7,100.0,0.8,28.0,14.0,34.0,0.0
4,82.0,80.5,73.7,97.7,0.8,42.0,15.0,24.0,1.0
5,69.0,87.0,81.0,97.1,0.9,34.0,8.0,26.0,1.0
6,85.0,90.6,85.7,100.0,0.9,48.0,8.0,29.0,0.0
7,100.0,90.0,83.3,100.0,0.9,50.0,10.0,40.0,0.0
8,74.0,75.7,71.7,86.8,0.8,33.0,13.0,23.0,5.0
10,61.0,86.9,80.0,96.6,0.9,28.0,7.0,25.0,1.0
