sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,74.9,72.4,85.1,53.7,0.6,19.9,3.4,35.1,16.5
1,77.0,87.0,77.4,88.9,0.8,24.0,7.0,43.0,3.0
2,69.0,56.5,100.0,33.3,0.5,15.0,0.0,24.0,30.0
3,76.0,69.7,60.0,53.6,0.6,15.0,10.0,38.0,13.0
4,82.0,80.5,88.6,72.1,0.8,31.0,4.0,35.0,12.0
5,69.0,63.8,100.0,28.6,0.4,10.0,0.0,34.0,25.0
6,85.0,83.5,97.2,72.9,0.8,35.0,1.0,36.0,13.0
7,100.0,82.0,92.1,70.0,0.8,35.0,3.0,47.0,15.0
8,74.0,77.0,88.9,63.2,0.7,24.0,3.0,33.0,14.0
9,57.0,56.1,71.4,17.9,0.3,5.0,2.0,27.0,23.0
10,61.0,72.1,83.3,51.7,0.6,15.0,3.0,29.0,14.0
11,69.0,71.0,66.7,51.9,0.6,14.0,7.0,35.0,13.0
12,80.0,71.2,95.5,48.8,0.6,21.0,1.0,36.0,22.0
13,65.0,66.2,92.3,36.4,0.5,12.0,1.0,31.0,21.0
14,84.0,77.4,78.6,62.9,0.7,22.0,6.0,43.0,13.0
