sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,74.9,77.5,92.6,58.7,0.7,21.4,1.7,36.8,14.9
1,77.0,81.8,81.0,63.0,0.7,17.0,4.0,46.0,10.0
2,69.0,71.0,96.3,57.8,0.7,26.0,1.0,23.0,19.0
3,76.0,84.2,80.8,75.0,0.8,21.0,5.0,43.0,7.0
4,82.0,69.5,90.9,46.5,0.6,20.0,2.0,37.0,23.0
5,69.0,75.4,100.0,51.4,0.7,18.0,0.0,34.0,17.0
6,85.0,72.9,100.0,52.1,0.7,25.0,0.0,37.0,23.0
7,100.0,86.0,97.4,74.0,0.8,37.0,1.0,49.0,13.0
8,74.0,77.0,92.0,60.5,0.7,23.0,2.0,34.0,15.0
9,57.0,77.2,100.0,53.6,0.7,15.0,0.0,29.0,13.0
10,61.0,70.5,100.0,37.9,0.5,11.0,0.0,32.0,18.0
11,69.0,75.4,77.8,51.9,0.6,14.0,4.0,38.0,13.0
12,80.0,78.8,96.4,62.8,0.8,27.0,1.0,36.0,16.0
13,65.0,83.1,92.3,72.7,0.8,24.0,2.0,30.0,9.0
14,84.0,82.1,91.7,62.9,0.7,22.0,2.0,47.0,13.0
