sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,74.9,89.3,93.9,83.7,0.9,31.2,2.2,36.0,5.6
1,77.0,94.8,100.0,85.2,0.9,23.0,0.0,50.0,4.0
2,69.0,87.0,92.9,86.7,0.9,39.0,3.0,21.0,6.0
3,76.0,90.8,88.9,85.7,0.9,24.0,3.0,45.0,4.0
4,82.0,95.1,95.3,95.3,1.0,41.0,2.0,37.0,2.0
5,69.0,81.2,95.8,65.7,0.8,23.0,1.0,33.0,12.0
6,85.0,91.8,95.6,89.6,0.9,43.0,2.0,35.0,5.0
7,100.0,95.0,90.9,100.0,1.0,50.0,5.0,45.0,0.0
8,74.0,89.2,89.5,89.5,0.9,34.0,4.0,32.0,4.0
9,57.0,86.0,88.5,82.1,0.9,23.0,3.0,26.0,5.0
10,61.0,86.9,100.0,72.4,0.8,21.0,0.0,32.0,8.0
11,69.0,89.9,95.5,77.8,0.9,21.0,1.0,41.0,6.0
12,80.0,83.8,94.1,74.4,0.8,32.0,2.0,35.0,11.0
