sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.6,83.0,84.3,81.4,0.8,29.6,5.6,31.7,6.6
1,77.0,90.9,83.3,92.6,0.9,25.0,5.0,45.0,2.0
2,69.0,73.9,96.6,62.2,0.8,28.0,1.0,23.0,17.0
3,76.0,81.6,71.9,82.1,0.8,23.0,9.0,39.0,5.0
4,82.0,87.8,88.4,88.4,0.9,38.0,5.0,34.0,5.0
5,69.0,92.8,96.9,88.6,0.9,31.0,1.0,33.0,4.0
6,85.0,84.7,80.7,95.8,0.9,46.0,11.0,26.0,2.0
7,100.0,91.0,86.0,98.0,0.9,49.0,8.0,42.0,1.0
8,74.0,85.1,86.5,84.2,0.9,32.0,5.0,31.0,6.0
9,57.0,82.5,78.1,89.3,0.8,25.0,7.0,22.0,3.0
10,61.0,78.7,83.3,69.0,0.8,20.0,4.0,28.0,9.0
11,69.0,79.7,74.1,74.1,0.7,20.0,7.0,35.0,7.0
12,80.0,75.0,84.8,65.1,0.7,28.0,5.0,32.0,15.0
13,65.0,90.8,93.5,87.9,0.9,29.0,2.0,30.0,4.0
14,84.0,82.1,72.7,91.4,0.8,32.0,12.0,37.0,3.0
15,71.0,80.3,93.5,70.7,0.8,29.0,2.0,28.0,12.0
16,68.0,79.4,76.9,85.7,0.8,30.0,9.0,24.0,5.0
17,64.0,75.0,85.7,58.1,0.7,18.0,3.0,30.0,13.0
